"hr","holiday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","instant","mnth","yr"
"14",FALSE,TRUE,"Clear to partly cloudy",0.78,0.6818,0.33,0.2239,209,13282,7,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.36,0.194,271,13283,7,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.36,0.194,439,13284,7,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.43,0.2239,795,13285,7,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.45,0.1343,825,13286,7,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.48,0.2239,629,13287,7,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.48,0.2239,514,13288,7,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.48,0.2239,373,13289,7,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.51,0.1642,318,13290,7,1
"23",FALSE,TRUE,"Misty",0.7,0.6515,0.51,0.2239,211,13291,7,1
"0",FALSE,TRUE,"Misty",0.7,0.6515,0.54,0.1642,95,13292,7,1
"1",FALSE,TRUE,"Misty",0.68,0.6364,0.54,0.1045,59,13293,7,1
"2",FALSE,TRUE,"Misty",0.66,0.6212,0.61,0.0896,17,13294,7,1
"3",FALSE,TRUE,"Misty",0.68,0.6364,0.61,0,9,13295,7,1
"4",FALSE,TRUE,"Misty",0.66,0.6212,0.61,0,11,13296,7,1
"5",FALSE,TRUE,"Misty",0.66,0.6364,0.56,0.0896,34,13297,7,1
"6",FALSE,TRUE,"Misty",0.7,0.6515,0.54,0,127,13298,7,1
"7",FALSE,TRUE,"Misty",0.7,0.6515,0.54,0,380,13299,7,1
"8",FALSE,TRUE,"Misty",0.7,0.6515,0.54,0,713,13300,7,1
"9",FALSE,TRUE,"Misty",0.72,0.6667,0.51,0,414,13301,7,1
"10",FALSE,TRUE,"Misty",0.74,0.6667,0.48,0,268,13302,7,1
"11",FALSE,TRUE,"Misty",0.76,0.6818,0.45,0.1343,288,13303,7,1
"12",FALSE,TRUE,"Misty",0.76,0.6818,0.4,0.1045,379,13304,7,1
"13",FALSE,TRUE,"Misty",0.8,0.7121,0.38,0.1343,374,13305,7,1
"14",FALSE,TRUE,"Misty",0.8,0.7121,0.38,0,369,13306,7,1
"15",FALSE,TRUE,"Misty",0.8,0.7121,0.36,0.1045,353,13307,7,1
"16",FALSE,TRUE,"Misty",0.8,0.7121,0.36,0.2239,492,13308,7,1
"17",FALSE,TRUE,"Misty",0.8,0.7121,0.36,0.1642,835,13309,7,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.46,0.194,631,13310,7,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.1642,488,13311,7,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.48,0.1343,389,13312,7,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.54,0,299,13313,7,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.45,0,263,13314,7,1
"23",FALSE,TRUE,"Misty",0.72,0.6515,0.45,0.1343,212,13315,7,1
"0",FALSE,FALSE,"Misty",0.72,0.6667,0.48,0.0896,191,13316,7,1
"1",FALSE,FALSE,"Misty",0.7,0.6515,0.51,0.1045,118,13317,7,1
"2",FALSE,FALSE,"Misty",0.7,0.6515,0.54,0.1045,101,13318,7,1
"3",FALSE,FALSE,"Misty",0.7,0.6515,0.54,0.1045,40,13319,7,1
"4",FALSE,FALSE,"Light Precipitation",0.66,0.6212,0.61,0.1045,9,13320,7,1
"5",FALSE,FALSE,"Misty",0.64,0.6061,0.73,0.1045,5,13321,7,1
"6",FALSE,FALSE,"Misty",0.64,0.5909,0.78,0.0896,35,13322,7,1
"7",FALSE,FALSE,"Clear to partly cloudy",0.64,0.5909,0.78,0.2836,48,13323,7,1
"8",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5909,0.78,0.2836,151,13324,7,1
"9",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.74,0.194,282,13325,7,1
"10",FALSE,FALSE,"Misty",0.72,0.6818,0.7,0.0896,401,13326,7,1
"11",FALSE,FALSE,"Misty",0.72,0.6818,0.7,0.1045,439,13327,7,1
"12",FALSE,FALSE,"Misty",0.74,0.697,0.66,0.0896,499,13328,7,1
"13",FALSE,FALSE,"Misty",0.76,0.7121,0.62,0.0896,591,13329,7,1
"14",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7576,0.55,0.1045,632,13330,7,1
"15",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7576,0.55,0.1642,560,13331,7,1
"16",FALSE,FALSE,"Misty",0.72,0.697,0.79,0.3582,566,13332,7,1
"17",FALSE,FALSE,"Light Precipitation",0.7,0.6667,0.79,0.1642,458,13333,7,1
"18",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.1343,351,13334,7,1
"19",FALSE,FALSE,"Clear to partly cloudy",0.72,0.7121,0.84,0.0896,431,13335,7,1
"20",FALSE,FALSE,"Clear to partly cloudy",0.72,0.7121,0.84,0.0896,356,13336,7,1
"21",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.84,0.2239,269,13337,7,1
"22",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.79,0.194,225,13338,7,1
"23",FALSE,FALSE,"Misty",0.68,0.6364,0.83,0.0896,211,13339,7,1
"0",FALSE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.89,0.1642,187,13340,7,1
"1",FALSE,FALSE,"Misty",0.68,0.6364,0.89,0.1343,168,13341,7,1
"2",FALSE,FALSE,"Misty",0.68,0.6364,0.89,0.1642,115,13342,7,1
"3",FALSE,FALSE,"Misty",0.68,0.6364,0.89,0.1642,57,13343,7,1
"4",FALSE,FALSE,"Misty",0.68,0.6364,0.89,0.1045,19,13344,7,1
"5",FALSE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.89,0.1343,9,13345,7,1
"6",FALSE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.83,0.1343,15,13346,7,1
"7",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.79,0.0896,47,13347,7,1
"8",FALSE,FALSE,"Misty",0.7,0.6667,0.84,0.1343,133,13348,7,1
"9",FALSE,FALSE,"Misty",0.72,0.697,0.79,0,221,13349,7,1
"10",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1343,382,13350,7,1
"11",FALSE,FALSE,"Clear to partly cloudy",0.82,0.7727,0.52,0.1642,451,13351,7,1
"12",FALSE,FALSE,"Clear to partly cloudy",0.84,0.7727,0.47,0.1045,489,13352,7,1
"13",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7879,0.41,0.1045,480,13353,7,1
"14",FALSE,FALSE,"Clear to partly cloudy",0.9,0.8182,0.37,0.2537,476,13354,7,1
"15",FALSE,FALSE,"Clear to partly cloudy",0.86,0.803,0.47,0.1343,489,13355,7,1
"16",FALSE,FALSE,"Clear to partly cloudy",0.86,0.7879,0.41,0.2239,495,13356,7,1
"17",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7727,0.59,0.4925,436,13357,7,1
"18",FALSE,FALSE,"Light Precipitation",0.72,0.697,0.79,0.3582,312,13358,7,1
"19",FALSE,FALSE,"Clear to partly cloudy",0.72,0.7121,0.84,0.2239,312,13359,7,1
"20",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.2537,294,13360,7,1
"21",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.0896,223,13361,7,1
"22",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.74,0.1045,130,13362,7,1
"23",FALSE,FALSE,"Clear to partly cloudy",0.72,0.697,0.79,0.1343,91,13363,7,1
"0",FALSE,TRUE,"Light Precipitation",0.72,0.697,0.79,0.1045,43,13364,7,1
"1",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0.194,11,13365,7,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1045,15,13366,7,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.0896,6,13367,7,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1045,12,13368,7,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.78,0.1045,50,13369,7,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1343,140,13370,7,1
"7",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.0896,483,13371,7,1
"8",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1045,667,13372,7,1
"9",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.1642,348,13373,7,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7727,0.59,0,186,13374,7,1
"11",FALSE,TRUE,"Clear to partly cloudy",0.84,0.803,0.53,0.2239,182,13375,7,1
"12",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7879,0.49,0.1343,237,13376,7,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7879,0.49,0.2836,239,13377,7,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.88,0.8182,0.42,0.1045,212,13378,7,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.86,0.803,0.47,0.2537,237,13379,7,1
"16",FALSE,TRUE,"Light Precipitation",0.76,0.7273,0.66,0.5821,386,13380,7,1
"17",FALSE,TRUE,"Light Precipitation",0.76,0.7273,0.66,0.5821,755,13381,7,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.84,0.803,0.53,0,794,13382,7,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7879,0.63,0.1343,595,13383,7,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7727,0.59,0.1343,454,13384,7,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1343,328,13385,7,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.0896,284,13386,7,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.74,0.7121,0.74,0.0896,166,13387,7,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.72,0.7121,0.84,0.1045,53,13388,7,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0,25,13389,7,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.0896,7,13390,7,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0,3,13391,7,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.62,0,7,13392,7,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.74,0.0896,38,13393,7,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0.1045,213,13394,7,1
"7",FALSE,TRUE,"Misty",0.74,0.697,0.7,0,526,13395,7,1
"8",FALSE,TRUE,"Misty",0.8,0.7576,0.55,0,661,13396,7,1
"9",FALSE,TRUE,"Misty",0.82,0.7727,0.49,0.2239,320,13397,7,1
"10",FALSE,TRUE,"Misty",0.84,0.7879,0.49,0.194,159,13398,7,1
"11",FALSE,TRUE,"Misty",0.86,0.803,0.47,0,206,13399,7,1
"12",FALSE,TRUE,"Misty",0.9,0.8182,0.35,0,254,13400,7,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8182,0.31,0.194,221,13401,7,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.94,0.8333,0.29,0.2537,214,13402,7,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8182,0.31,0.1642,244,13403,7,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8182,0.29,0.1642,381,13404,7,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8182,0.29,0,770,13405,7,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.9,0.803,0.33,0.194,772,13406,7,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.88,0.7879,0.35,0.2537,547,13407,7,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7576,0.34,0.1642,427,13408,7,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.1343,333,13409,7,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.2239,244,13410,7,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.59,0.194,161,13411,7,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1642,53,13412,7,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.1045,16,13413,7,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1343,8,13414,7,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1343,4,13415,7,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1343,6,13416,7,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1642,46,13417,7,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1642,162,13418,7,1
"7",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1642,495,13419,7,1
"8",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7424,0.62,0.1045,679,13420,7,1
"9",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7879,0.56,0,297,13421,7,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.9,0.8485,0.42,0.194,138,13422,7,1
"11",FALSE,TRUE,"Clear to partly cloudy",0.9,0.8485,0.42,0,183,13423,7,1
"12",FALSE,TRUE,"Clear to partly cloudy",0.92,0.8636,0.37,0.1343,202,13424,7,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.94,0.8485,0.33,0,203,13425,7,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.94,0.8788,0.38,0.3284,170,13426,7,1
"15",FALSE,TRUE,"Light Precipitation",0.92,0.8485,0.35,0.3582,194,13427,7,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.2537,224,13428,7,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.2537,370,13429,7,1
"18",FALSE,TRUE,"Misty",0.76,0.7121,0.62,0.1343,643,13430,7,1
"19",FALSE,TRUE,"Misty",0.76,0.7121,0.62,0.1045,516,13431,7,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.62,0.0896,366,13432,7,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0,319,13433,7,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.0896,288,13434,7,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.0896,131,13435,7,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.0896,66,13436,7,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.0896,25,13437,7,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.194,7,13438,7,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1045,5,13439,7,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1045,8,13440,7,1
"5",FALSE,TRUE,"Misty",0.72,0.6818,0.7,0.1045,40,13441,7,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0.1343,152,13442,7,1
"7",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.58,0.2836,473,13443,7,1
"8",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.2537,657,13444,7,1
"9",FALSE,TRUE,"Misty",0.76,0.7121,0.58,0.2836,318,13445,7,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.58,0.194,198,13446,7,1
"11",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.1045,216,13447,7,1
"12",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7879,0.49,0.2836,274,13448,7,1
"13",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7727,0.47,0.1343,254,13449,7,1
"14",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.44,0.0896,197,13450,7,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7727,0.47,0.0896,292,13451,7,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7727,0.47,0.0896,358,13452,7,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.41,0,771,13453,7,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.86,0.7879,0.41,0.194,777,13454,7,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.84,0.7576,0.44,0.2537,533,13455,7,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.49,0.1642,505,13456,7,1
"21",FALSE,TRUE,"Light Precipitation",0.66,0.5909,0.89,0.2537,332,13457,7,1
"22",FALSE,TRUE,"Light Precipitation",0.66,0.5909,0.89,0.2537,68,13458,7,1
"23",FALSE,TRUE,"Light Precipitation",0.66,0.5909,0.89,0.2239,65,13459,7,1
"0",FALSE,TRUE,"Light Precipitation",0.66,0.5909,0.89,0.0896,34,13460,7,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.66,0.5909,0.89,0.1343,11,13461,7,1
"2",FALSE,TRUE,"Misty",0.66,0.5909,0.89,0.0896,19,13462,7,1
"3",FALSE,TRUE,"Misty",0.66,0.5909,0.89,0.1045,36,13463,7,1
"4",FALSE,TRUE,"Misty",0.66,0.5909,0.89,0.1642,9,13464,7,1
"5",FALSE,TRUE,"Misty",0.66,0.5909,0.89,0.1343,42,13465,7,1
"6",FALSE,TRUE,"Misty",0.66,0.5909,0.89,0.1642,126,13466,7,1
"7",FALSE,TRUE,"Misty",0.66,0.5909,0.89,0.194,360,13467,7,1
"8",FALSE,TRUE,"Misty",0.68,0.6364,0.83,0.1642,691,13468,7,1
"9",FALSE,TRUE,"Misty",0.7,0.6667,0.79,0.1343,373,13469,7,1
"10",FALSE,TRUE,"Misty",0.7,0.6667,0.79,0.1642,233,13470,7,1
"11",FALSE,TRUE,"Light Precipitation",0.72,0.697,0.74,0.194,212,13471,7,1
"12",FALSE,TRUE,"Light Precipitation",0.68,0.6364,0.83,0.1642,274,13472,7,1
"13",FALSE,TRUE,"Light Precipitation",0.68,0.6364,0.83,0.1045,156,13473,7,1
"14",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.84,0.1642,229,13474,7,1
"15",FALSE,TRUE,"Misty",0.7,0.6667,0.84,0.2985,216,13475,7,1
"16",FALSE,TRUE,"Misty",0.68,0.6364,0.83,0.3284,436,13476,7,1
"17",FALSE,TRUE,"Misty",0.66,0.5909,0.89,0.4179,715,13477,7,1
"18",FALSE,TRUE,"Misty",0.66,0.6061,0.78,0.3284,622,13478,7,1
"19",FALSE,TRUE,"Misty",0.64,0.5758,0.83,0.2836,402,13479,7,1
"20",FALSE,TRUE,"Light Precipitation",0.64,0.5758,0.83,0.3881,251,13480,7,1
"21",FALSE,TRUE,"Light Precipitation",0.62,0.5758,0.83,0.3284,122,13481,7,1
"22",FALSE,TRUE,"Misty",0.62,0.5758,0.83,0.194,135,13482,7,1
"23",FALSE,TRUE,"Misty",0.62,0.5758,0.83,0.2836,166,13483,7,1
"0",FALSE,FALSE,"Light Precipitation",0.62,0.5758,0.83,0.2836,103,13484,7,1
"1",FALSE,FALSE,"Misty",0.62,0.5758,0.83,0.2537,72,13485,7,1
"2",FALSE,FALSE,"Light Precipitation",0.6,0.5455,0.88,0.2836,60,13486,7,1
"3",FALSE,FALSE,"Light Precipitation",0.6,0.5455,0.88,0.2537,25,13487,7,1
"4",FALSE,FALSE,"Light Precipitation",0.58,0.5455,0.88,0.2836,16,13488,7,1
"5",FALSE,FALSE,"Light Precipitation",0.58,0.5455,0.88,0.2537,17,13489,7,1
"6",FALSE,FALSE,"Light Precipitation",0.58,0.5455,0.88,0.2537,15,13490,7,1
"7",FALSE,FALSE,"Misty",0.58,0.5455,0.88,0.2537,37,13491,7,1
"8",FALSE,FALSE,"Misty",0.58,0.5455,0.83,0.2537,112,13492,7,1
"9",FALSE,FALSE,"Misty",0.58,0.5455,0.83,0.194,207,13493,7,1
"10",FALSE,FALSE,"Light Precipitation",0.58,0.5455,0.88,0.2537,268,13494,7,1
"11",FALSE,FALSE,"Misty",0.6,0.5606,0.83,0.2537,305,13495,7,1
"12",FALSE,FALSE,"Light Precipitation",0.6,0.5606,0.83,0.2239,457,13496,7,1
"13",FALSE,FALSE,"Light Precipitation",0.6,0.5606,0.83,0.1642,354,13497,7,1
"14",FALSE,FALSE,"Misty",0.6,0.5455,0.88,0.2537,343,13498,7,1
"15",FALSE,FALSE,"Light Precipitation",0.6,0.5455,0.88,0.2537,380,13499,7,1
"16",FALSE,FALSE,"Light Precipitation",0.6,0.5455,0.88,0.194,326,13500,7,1
"17",FALSE,FALSE,"Light Precipitation",0.6,0.5455,0.88,0.1642,241,13501,7,1
"18",FALSE,FALSE,"Misty",0.6,0.5455,0.88,0.194,177,13502,7,1
"19",FALSE,FALSE,"Misty",0.6,0.5455,0.88,0.1642,238,13503,7,1
"20",FALSE,FALSE,"Light Precipitation",0.6,0.5455,0.88,0.1642,214,13504,7,1
"21",FALSE,FALSE,"Misty",0.6,0.5455,0.88,0.1642,163,13505,7,1
"22",FALSE,FALSE,"Misty",0.6,0.5455,0.88,0.1045,180,13506,7,1
"23",FALSE,FALSE,"Misty",0.6,0.5455,0.88,0,149,13507,7,1
"0",FALSE,FALSE,"Misty",0.6,0.5455,0.88,0.1045,113,13508,7,1
"1",FALSE,FALSE,"Misty",0.6,0.5455,0.88,0.1642,130,13509,7,1
"2",FALSE,FALSE,"Misty",0.6,0.5455,0.88,0.1045,122,13510,7,1
"3",FALSE,FALSE,"Misty",0.6,0.5455,0.88,0.1045,43,13511,7,1
"4",FALSE,FALSE,"Clear to partly cloudy",0.6,0.5455,0.88,0,16,13512,7,1
"5",FALSE,FALSE,"Clear to partly cloudy",0.6,0.5455,0.88,0,6,13513,7,1
"6",FALSE,FALSE,"Misty",0.62,0.5758,0.83,0.0896,19,13514,7,1
"7",FALSE,FALSE,"Misty",0.62,0.5758,0.83,0,38,13515,7,1
"8",FALSE,FALSE,"Misty",0.64,0.5909,0.78,0,153,13516,7,1
"9",FALSE,FALSE,"Misty",0.66,0.6212,0.69,0,258,13517,7,1
"10",FALSE,FALSE,"Misty",0.66,0.6212,0.74,0,379,13518,7,1
"11",FALSE,FALSE,"Misty",0.66,0.6212,0.74,0,505,13519,7,1
"12",FALSE,FALSE,"Misty",0.7,0.6515,0.7,0.1045,504,13520,7,1
"13",FALSE,FALSE,"Misty",0.7,0.6515,0.65,0.0896,626,13521,7,1
"14",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6818,0.66,0.1045,616,13522,7,1
"15",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6818,0.66,0.1045,624,13523,7,1
"16",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.66,0.1045,628,13524,7,1
"17",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.66,0.2239,556,13525,7,1
"18",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.66,0.1642,515,13526,7,1
"19",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6818,0.7,0.1642,522,13527,7,1
"20",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1642,378,13528,7,1
"21",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.79,0.1045,345,13529,7,1
"22",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6667,0.74,0.194,191,13530,7,1
"23",FALSE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1642,123,13531,7,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.66,0.5909,0.89,0.0896,47,13532,7,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.66,0.5909,0.89,0.194,27,13533,7,1
"2",FALSE,TRUE,"Misty",0.66,0.5909,0.94,0.0896,17,13534,7,1
"3",FALSE,TRUE,"Misty",0.66,0.5909,0.94,0.0896,2,13535,7,1
"4",FALSE,TRUE,"Misty",0.66,0.5909,0.94,0.1343,8,13536,7,1
"5",FALSE,TRUE,"Misty",0.66,0.5909,0.94,0.1343,51,13537,7,1
"6",FALSE,TRUE,"Misty",0.68,0.6364,0.89,0.0896,157,13538,7,1
"7",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.84,0.1343,421,13539,7,1
"8",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.79,0.1045,738,13540,7,1
"9",FALSE,TRUE,"Misty",0.74,0.7121,0.74,0.1343,345,13541,7,1
"10",FALSE,TRUE,"Misty",0.78,0.7424,0.62,0,200,13542,7,1
"11",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0.1642,198,13543,7,1
"12",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0.1642,314,13544,7,1
"13",FALSE,TRUE,"Misty",0.8,0.7424,0.52,0.1045,240,13545,7,1
"14",FALSE,TRUE,"Misty",0.78,0.7424,0.59,0.1642,271,13546,7,1
"15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7576,0.55,0.194,281,13547,7,1
"16",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.1343,457,13548,7,1
"17",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7727,0.52,0.1343,847,13549,7,1
"18",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.1045,741,13550,7,1
"19",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7424,0.52,0.2537,582,13551,7,1
"20",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.1642,403,13552,7,1
"21",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.194,296,13553,7,1
"22",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.62,0.194,209,13554,7,1
"23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0.1642,114,13555,7,1
"0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1343,64,13556,7,1
"1",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1642,17,13557,7,1
"2",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1642,16,13558,7,1
"3",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1642,6,13559,7,1
"4",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.0896,6,13560,7,1
"5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1045,50,13561,7,1
"6",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1343,190,13562,7,1
"7",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.1642,516,13563,7,1
"8",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.7,0.194,743,13564,7,1
"9",FALSE,TRUE,"Clear to partly cloudy",0.84,0.803,0.53,0,339,13565,7,1
"10",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7879,0.56,0.2985,218,13566,7,1
"11",FALSE,TRUE,"Misty",0.84,0.803,0.53,0.3284,201,13567,7,1
